drug_name,num_prescriber,total_cost
LIDOCAINE-PRILOCAINE,13367,82193592.56999941
TRAZODONE HCL,177801,81796263.96000008
CARBIDOPA-LEVODOPA,47691,81688629.14000046
COLCRYS,16309,81647185.16999954
BACLOFEN,82348,81252252.8000002
DIOVAN,17416,80934532.45999987
BRILINTA,9193,80058323.56999975
AMLODIPINE BESYLATE-BENAZEPRIL,59655,77953450.74000034
VIEKIRA PAK,134,76476353.14
LOSARTAN-HYDROCHLOROTHIAZIDE,117842,74901471.2799997
BRIMONIDINE TARTRATE,22908,74265984.8500002
LANSOPRAZOLE,55456,74159963.50000034
COLCHICINE,18413,73013982.59999998
DALIRESP,10319,72993240.35999998
LORAZEPAM,165259,72870430.37000036
PAROXETINE HCL,119733,72188271.27000017
AMITRIPTYLINE HCL,107375,71569320.17000066
JANUMET XR,7972,71227631.36000013
SAPHRIS,4467,71048007.07000017
MEMANTINE HCL,28988,70538076.57000038
OXYBUTYNIN CHLORIDE,72753,70521434.01999988
MODAFINIL,7658,70504101.62000018
REBIF REBIDOSE,655,70367178.0500001
HUMALOG MIX 75-25,6117,69891600.50000013
GLIMEPIRIDE,99552,69889012.87999988
EXEMESTANE,5558,69546043.16000018
HYDRALAZINE HCL,93239,69080750.19000025
POLYETHYLENE GLYCOL 3350,79423,69070270.42999953
SEROSTIM,193,68939941.72000001
VIGAMOX,6068,68508270.58000004
CITALOPRAM HBR,169531,68292702.6000011
SIMPONI,891,67759982.64000003
RISPERIDONE,72665,67461583.27000102
DILTIAZEM 24HR ER,45614,65854689.49000072
CALCIUM ACETATE,12424,65609637.79000022
CARBAMAZEPINE,33617,64599651.91999979
TUDORZA PRESSAIR,8054,64136253.059999846
CLONAZEPAM,153317,63867130.41999978
SPIRIVA RESPIMAT,6515,63178794.14000027
TIMOLOL MALEATE,30723,63128456.13000016
TARGRETIN,85,62800152.08999999
ASACOL HD,4443,61913619.42
ALENDRONATE SODIUM,140279,61912351.61000019
AZOR,9421,61620384.33999981
KEPPRA,2517,61502707.43999981
VOTRIENT,466,61397305.710000016
LAMICTAL,2425,60155919.17999993
LOTEMAX,7075,58873542.76999994
PATANOL,8991,58779745.889999904
SUTENT,409,58773360.07000002
LOVASTATIN,111414,58158443.37000019
SUSTIVA,2614,57442558.41999987
TRIAMCINOLONE ACETONIDE,92663,57005741.750000596
LIDODERM,5486,56984907.97000013
FOSRENOL,2108,56932928.37999995
AZITHROMYCIN,179646,56633509.89999931
ZEMAIRA,321,56545188.250000045
FLUOCINONIDE,17144,55958723.33000016
ORENITRAM ER,226,55324595.71000004
LISINOPRIL-HYDROCHLOROTHIAZIDE,137937,54910577.890000775
KALETRA,2292,54725954.82999986
FIRAZYR,47,54721886.21000002
GLUMETZA,979,54602967.910000004
METRONIDAZOLE,44156,54314911.550000265
DIGOX,46153,53554954.03000026
BYDUREON PEN,3911,53321154.30000011
CYCLOBENZAPRINE HCL,101886,53067399.80000033
PROPRANOLOL HCL ER,29330,52801402.209999755
EXJADE,428,52517270.080000035
BYETTA,4849,51689450.90999996
BUTRANS,5622,51358905.29999982
STELARA,242,51321681.65000002
MELOXICAM,148169,51139919.649999656
JUXTAPID,91,51032176.33999999
CLONIDINE,16358,50528348.45999994
METHYLPREDNISOLONE,77492,50165010.92999952
ESTRACE,8875,50084927.58000007
VAGIFEM,8674,49691692.76999989
PROLENSA,3623,49640287.88999997
CUBICIN,1007,49383386.71000009
TRIAMTERENE-HYDROCHLOROTHIAZID,104378,49073614.699999996
ELMIRON,2908,48564509.189999856
RIVASTIGMINE,13444,48269497.91000023
SPIRONOLACTONE,121689,48213647.45999966
NEUPRO,2960,47674034.30000015
CLOMIPRAMINE HCL,4459,47610103.73000015
FENOFIBRIC ACID,17064,47306090.57000054
RAMIPRIL,67728,47035005.00000017
FANAPT,2054,47025189.13000002
FLUOROURACIL,7556,47022151.489999965
ROPINIROLE HCL,74763,47011518.340000115
PENTASA,3213,46945337.1600001
ONFI,1563,46918645.56000007
KLOR-CON M20,63846,46913757.22999971
DILTIAZEM 24HR CD,53067,46835393.18000016
ATROVENT HFA,8652,46775090.08999995
DEXTROAMPHETAMINE-AMPHETAMINE,25035,46715855.980000034
BUSPIRONE HCL,73420,46687171.800000444
AZELASTINE HCL,23922,46407884.67000007
KETOCONAZOLE,39011,45643186.38000004
CARBAMAZEPINE ER,13631,45345015.0799999
APRISO,4572,45127793.54000005
BYDUREON,3883,44955909.28000002
THALOMID,345,44857934.949999966
CARTIA XT,50042,44727054.62999969
INSULIN SYRINGE,71709,44542842.209999934
NOVOLIN N,11021,44329413.179999985
BUPROPION HCL SR,63404,44030706.29999956
AMIODARONE HCL,55408,44007894.90999971
GATTEX,73,43866379.21999999
SUMATRIPTAN SUCCINATE,37981,43833381.390000075
IBANDRONATE SODIUM,23401,43671902.019999966
PHENYTOIN SODIUM EXTENDED,42804,43664454.65999932
ANORO ELLIPTA,4870,43631017.45999989
CHLORTHALIDONE,39000,43098380.74000007
BUDESONIDE,5890,42933027.21000002
TEMAZEPAM,74190,42893666.6299997
BUMETANIDE,34649,42883816.32999972
CARAFATE,8913,42539040.70000008
CLOTRIMAZOLE-BETAMETHASONE,36070,42248254.77000017
CIPROFLOXACIN HCL,174086,42172914.03999895
LEVOFLOXACIN,116581,41974656.60000018
DORZOLAMIDE-TIMOLOL,22598,41870686.70999979
VIIBRYD,8857,41352427.449999966
LABETALOL HCL,36935,41095270.110000044
NUVIGIL,3531,41022412.35999989
KOMBIGLYZE XR,5125,40712178.900000006
ENTACAPONE,5418,40011968.45999999
PROMACTA,442,39920013.21000002
CIALIS,6739,39543988.66000004
LEFLUNOMIDE,5823,39341085.009999864
GLIPIZIDE,114187,39332829.03000013
OXYMORPHONE HCL ER,3609,39260866.96999999
DEXTROAMPHETAMINE-AMPHET ER,11172,39256103.180000044
TAMIFLU,9698,39134329.93999992
FAMOTIDINE,91222,39072588.139999926
BANZEL,856,39001251.15000001
VANCOMYCIN HCL,7914,38989074.94999999
NOVOLIN R,10562,38901449.04999998
XOLAIR,668,38839465.72000001
POTASSIUM CITRATE ER,8618,38826784.45000003
OTEZLA,925,38705970.209999986
SELZENTRY,1102,38544368.099999964
IBUPROFEN,136161,38332301.76999987
ENTECAVIR,1720,38298850.05000001
ESTRADIOL,52279,38177837.26999982
AMOXICILLIN-CLAVULANATE POTASS,103038,38165835.07000087
NITROFURANTOIN MONO-MACRO,46076,38080615.33000032
LAMOTRIGINE,60494,37921051.759999655
TRIBENZOR,5705,37822796.23999994
VERAPAMIL ER,64216,37569156.19000003
XALKORI,213,37432400.499999985
NYSTATIN,52306,37415358.579999566
NEULASTA,276,37367803.89999998
PRAMIPEXOLE DIHYDROCHLORIDE,48331,37122907.890000194
VALACYCLOVIR,43004,37106814.96999989
BRINTELLIX,5035,37024232.669999845
AMANTADINE,12783,37013274.92999994
HALOPERIDOL,26319,36936492.13999982
DESONIDE,7958,36505942.36000003
SUPREP,6391,36225036.38999992
LIVALO,7543,36111226.02999994
INLYTA,181,35962978.82
HUMULIN R,11012,35921687.11000007
NEUPOGEN,626,35872521.209999986
PLEGRIDY PEN,304,35699775.22000004
ACETAMINOPHEN-CODEINE,85516,35402890.12999994
TOPIRAMATE,65601,35253579.659999914
OLYSIO,82,35152080.300000004
BESIVANCE,2516,35015877.979999945
PRIVIGEN,196,34397062.809999995
ASMANEX,7040,34368434.429999985
PROPRANOLOL HCL,64870,34158096.249999724
TACROLIMUS,4094,33912025.409999855
VASCEPA,3388,33790956.34999995
REMICADE,222,33750236.029999994
CARBIDOPA-LEVODOPA-ENTACAPONE,3760,33653244.169999965
OXCARBAZEPINE,26293,33590341.879999936
ZENPEP,2416,33458719.650000013
COREG CR,6255,33457187.610000107
ONDANSETRON HCL,53086,33002934.80000011
CLONIDINE HCL,109055,32826630.6499995
ACYCLOVIR,42016,32714171.209999822
NITROSTAT,52095,32373089.880000025
GLIPIZIDE ER,57062,32221348.57999971
TOPAMAX,1722,32087729.689999986
METHADONE HCL,27766,31888021.819999937
PROSOL,2055,31652061.18000001
CEFUROXIME,25086,31638058.62000002
BUPRENORPHINE-NALOXONE,3125,31608390.82000003
NADOLOL,15454,31234409.91999992
TOPROL XL,24322,30925459.04000026
NYSTATIN-TRIAMCINOLONE,10277,30924336.240000013
SUCRALFATE,34748,30662118.46999988
IRBESARTAN,39860,30619448.009999823
PREZCOBIX,688,30609888.899999984
JALYN,5701,30417609.73999997
ACTEMRA,546,30016468.70999998
ARANESP,1151,29866872.26999998
STRATTERA,4253,29753475.859999992
ISOSORBIDE DINITRATE,20108,29123259.85999996
MECLIZINE HCL,64900,29093564.9499997
AMLODIPINE-VALSARTAN,10457,28884895.770000003
FAZACLO,929,27798366.17999998
TOBRAMYCIN-DEXAMETHASONE,9416,27591844.92000007
FLECAINIDE ACETATE,15453,27493144.369999863
FLUCONAZOLE,70262,27356169.010000236
CARBIDOPA-LEVODOPA ER,13285,27308307.229999866
GILOTRIF,258,26989516.33000001
MIDODRINE HCL,15731,26935423.720000017
CELEBREX,4579,26923646.39000004
RENAGEL,1237,26893629.039999977
METOLAZONE,27989,26731915.070000056
METHYLPHENIDATE HCL,18333,26675291.18999988
JENTADUETO,2754,26648871.529999964
HUMULIN 70/30 KWIKPEN,2775,26580765.739999942
CEPHALEXIN,134305,25803060.28999968
PROPAFENONE HCL ER,2451,25768198.01000005
COUMADIN,12270,25749976.179999962
OLANZAPINE ODT,5315,25544780.660000008
VELPHORO,856,25519303.260000013
BENAZEPRIL HCL,80706,25241767.7100003
HIZENTRA,250,25227870.38000001
CALCITRIOL,21950,25216146.32999996
LEXIVA,937,25200474.56999998
DRONABINOL,3129,24938697.079999983
APOKYN,71,24930246.750000007
CALCIPOTRIENE,2676,24906382.440000076
NUCYNTA ER,2089,24866219.720000006
NORTHERA,180,24718512.33999999
TOUJEO SOLOSTAR,2025,24661337.79999995
SILDENAFIL,3032,24546141.48999998
SAVELLA,5367,24358682.630000018
TYSABRI,173,24314561.93
BERINERT,17,24296835.800000004
NEVANAC,2177,24206013.589999937
DILTIAZEM ER,30202,24133066.01999996
DELZICOL,2881,24013469.840000004
DIAZEPAM,97727,23796976.610000085
ERIVEDGE,146,23776136.270000003
ARALAST NP,172,23751654.52000002
BENZTROPINE MESYLATE,34829,23688634.069999974
BUTALBITAL-ACETAMINOPHEN-CAFFE,20352,23551592.0799999
FARXIGA,3097,23545876.850000016
REPAGLINIDE,8917,23493326.549999908
BETAMETHASONE DIPROPIONATE,13376,23481941.25000002
LAMICTAL XR,782,23328040.8
NAPROXEN,95478,23244396.869999893
VIAGRA,2157,23210469.540000025
HYDROMORPHONE HCL,26209,23150752.92
GALANTAMINE HBR,8992,23145628.840000007
AMOXICILLIN,172194,23134251.129999753
SIMBRINZA,5359,22980102.290000003
KETOROLAC TROMETHAMINE,10464,22913486.599999875
LAMOTRIGINE ER,2011,22850952.280000027
GEMFIBROZIL,53153,22714181.80999995
RISEDRONATE SODIUM,5243,22094450.069999985
CICLOPIROX,12381,21890324.740000095
VENLAFAXINE HCL,29724,21775103.6899998
VYVANSE,4247,21758607.12999999
NUCYNTA,2261,21676413.270000033
FONDAPARINUX SODIUM,732,21546957.749999974
CHANTIX,5193,21538926.289999966
MYCOPHENOLATE MOFETIL,7835,21476943.769999992
METHYLPHENIDATE ER,5356,21447369.780000012
VALCYTE,342,21414487.850000005
PREVACID,3298,21328259.13000002
PERPHENAZINE,8479,21280327.889999967
MUPIROCIN,48669,21273353.96000019
SULFAMETHOXAZOLE-TRIMETHOPRIM,126301,21250039.480000455
ROZEREM,4192,21163403.380000103
ALBUTEROL SULFATE,15931,21122655.169999905
CHOLESTYRAMINE,10819,20976774.079999976
ANASTROZOLE,18290,20811970.709999993
HYDROMORPHONE ER,1211,20806250.529999997
LACTULOSE,36170,20665252.749999948
PERCOCET,933,20571949.640000034
DAKLINZA,53,20571755.76
BENAZEPRIL-HYDROCHLOROTHIAZIDE,14294,20549483.430000078
INVANZ,2015,20496384.06999998
ACETAZOLAMIDE,7115,20433023.450000037
CAPTOPRIL,10468,20262011.149999976
LAMIVUDINE-ZIDOVUDINE,1747,20044372.810000006
AVONEX ADMINISTRATION PACK,250,19945591.21
QUINAPRIL HCL,39809,19895809.279999934
METHENAMINE HIPPURATE,6859,19844173.479999963
CEFDINIR,21015,19705471.97000003
DOXEPIN HCL,26824,19643302.340000015
GAMMAKED,99,19608125.65
ABACAVIR,2002,19421354.80999999
GLIPIZIDE-METFORMIN,9340,19390649.47000009
FELODIPINE ER,19583,19378836.159999963
STIVARGA,132,19319122.759999998
TERAZOSIN HCL,62473,19244690.040000133
PARICALCITOL,2806,19240959.90000005
GLIPIZIDE XL,36465,19213642.4799999
OXYCODONE HCL ER,1635,19124090.74999998
ETODOLAC,11852,18975775.810000017
KALYDECO,51,18927258.98
SABRIL,65,18887371.440000005
NOXAFIL,177,18884674.650000002
TORSEMIDE,32638,18692754.57999998
ENABLEX,3758,18568392.84999998
RITUXAN,111,18469734.220000003
HUMULIN N KWIKPEN,1788,18287524.01999999
EPIPEN 2-PAK,1957,18125693.980000015
NATEGLINIDE,7432,18061306.220000055
ENDOCET,7807,17963625.69000003
IPRATROPIUM BROMIDE,23594,17958493.80000001
FENTORA,88,17953060.470000003
WELLBUTRIN XL,835,17859429.480000027
PILOCARPINE HCL,7072,17750268.730000038
DURAGESIC,856,17742752.09
BOSULIF,133,17558499.62
MEKINIST,99,17547280.409999996
AVASTIN,116,17191060.459999997
PIOGLITAZONE-METFORMIN,4623,17183120.319999993
NIFEDICAL XL,25769,17161526.180000033
LEVOCETIRIZINE DIHYDROCHLORIDE,22601,17018990.089999907
PREMPRO,6403,16987945.930000085
FLUOROMETHOLONE,5242,16941824.250000026
NITROFURANTOIN,17633,16930228.87999999
IPRATROPIUM-ALBUTEROL,16516,16911062.339999914
SOTALOL,27684,16901069.470000025
ESZOPICLONE,15325,16753648.799999895
TELMISARTAN,11320,16742050.439999951
OFLOXACIN,11019,16674455.620000018
TOLTERODINE TARTRATE,8157,16646746.659999978
CIPRODEX,3927,16581501.750000048
SEREVENT DISKUS,3290,16355209.269999979
ORKAMBI,47,16351594.770000001
MOVIPREP,3770,16348236.809999984
KEPPRA XR,878,16288919.999999987
ZYDELIG,138,16264155.510000005
PRIMIDONE,28908,16225381.579999955
HYDROXYZINE HCL,35048,16187052.03000001
NABUMETONE,22715,16108784.709999975
TAFINLAR,103,16083101.219999993
TEKTURNA,4974,16073577.770000018
ZOLPIDEM TARTRATE ER,11453,15919422.709999971
HUMALOG MIX 50-50 KWIKPEN,795,15769695.940000016
RYTARY,630,15710926.960000006
MORPHINE SULFATE,21963,15676339.139999913
JADENU,96,15674665.419999994
LUPRON DEPOT,369,15624325.179999987
LYNPARZA,169,15561417.670000004
LOVAZA,2818,15355841.60000001
TRULICITY,1158,15332718.110000009
KUVAN,52,15307576.679999994
PHENOBARBITAL,21108,15215812.009999892
CLOZARIL,640,15174676.420000002
ACITRETIN,946,15101067.51
VIMOVO,437,15009485.799999993
AMMONIUM LACTATE,14185,14947339.710000006
CLINDAMYCIN PHOSPHATE,8058,14935068.93
AZATHIOPRINE,12101,14859066.739999974
COLESTIPOL HCL,7327,14651612.000000013
CILOSTAZOL,26269,14627039.479999907
CYMBALTA,3140,14570253.769999957
DILANTIN,10095,14547893.40999997
ATOVAQUONE,636,14527910.240000006
DIPHENOXYLATE-ATROPINE,23386,14441919.460000006
FORADIL,2671,14409008.559999952
ACTIMMUNE,21,14237715.12
CARISOPRODOL,27038,14195770.270000016
DORZOLAMIDE HCL,13053,14122425.620000005
BARACLUDE,527,14064388.109999996
SAMSCA,143,14044484.19
APTIOM,606,13985766.050000012
ONDANSETRON ODT,29697,13981316.959999958
GRALISE,1521,13930208.860000001
RAVICTI,16,13918985.489999998
TEGRETOL XR,3994,13822976.289999975
FETZIMA,2444,13814874.750000002
HALOPERIDOL DECANOATE,5622,13805636.919999966
KLOR-CON M10,26631,13785906.079999965
KALBITOR,18,13776933.3
NORTRIPTYLINE HCL,42504,13645056.490000151
BUPROPION HCL,19015,13631377.560000058
HYDROCORTISONE,26916,13622336.190000044
ATELVIA,2005,13611734.629999993
DESOXIMETASONE,3926,13518661.169999968
LAMIVUDINE,2300,13415545.20000003
ICLUSIG,59,13371226.710000005
TROSPIUM CHLORIDE,5069,13335498.450000001
PENNSAID,316,13318306.479999993
EDURANT,676,13266247.479999986
DEPAKOTE ER,1757,13125291.819999982
ZYPREXA,1000,13083282.740000013
ERYTHROMYCIN,13371,13064348.770000087
BISOPROLOL FUMARATE,15628,13063261.989999978
OCTAGAM,57,13012074.549999999
NITROGLYCERIN PATCH,17013,12891652.159999967
BALSALAZIDE DISODIUM,3382,12750828.21
TAMOXIFEN CITRATE,10636,12714601.079999968
NYSTOP,14532,12573900.639999976
PROGRAF,762,12561961.12000001
CALCITONIN-SALMON,9174,12548270.369999982
SOMAVERT,81,12327391.389999997
FLECTOR,1345,12309326.02000001
PYRIDOSTIGMINE BROMIDE,5543,12279199.040000021
DYMISTA,2919,12231992.880000016
GLASSIA,75,12039601.199999996
ACTONEL,2589,11953954.229999991
APIDRA SOLOSTAR,1181,11904506.92999999
TELMISARTAN-HYDROCHLOROTHIAZID,5589,11774777.959999977
CANASA,856,11707989.970000008
PROMETHAZINE HCL,39082,11703812.690000053
DILTIAZEM HCL,28161,11696739.149999939
TRAMADOL HCL-ACETAMINOPHEN,17948,11621999.359999977
GATIFLOXACIN,1468,11612391.839999992
TESTOSTERONE CYPIONATE,10817,11595158.76000001
MEGESTROL ACETATE,15544,11498405.029999986
SOLIRIS,25,11491590.7
GLYBURIDE,24451,11481914.41000007
