drug_name,num_prescriber,total_cost
CAPTOPRIL,10341,20267119
LAMIVUDINE-ZIDOVUDINE,1743,20045227
AVONEX ADMINISTRATION PACK,250,19945709
QUINAPRIL HCL,38609,19915399
METHENAMINE HIPPURATE,6806,19847541
CEFDINIR,20568,19715873
DOXEPIN HCL,26185,19656434
GAMMAKED,99,19608175
ABACAVIR,2001,19422343
GLIPIZIDE-METFORMIN,9214,19395204
FELODIPINE ER,19259,19388558
STIVARGA,132,19319185
TERAZOSIN HCL,59643,19275164
PARICALCITOL,2786,19242346
GLIPIZIDE XL,35578,19231548
OXYCODONE HCL ER,1632,19124896
ETODOLAC,11687,18981585
KALYDECO,51,18927284
SABRIL,65,18887400
NOXAFIL,177,18884758
TORSEMIDE,31800,18708849
ENABLEX,3743,18570238
RITUXAN,111,18469790
HUMULIN N KWIKPEN,1784,18288385
EPIPEN 2-PAK,1951,18126636
NATEGLINIDE,7375,18064985
IPRATROPIUM BROMIDE,23075,17970100
ENDOCET,7746,17967443
FENTORA,88,17953102
WELLBUTRIN XL,835,17859839
PILOCARPINE HCL,7015,17753771
DURAGESIC,855,17743165
BOSULIF,133,17558567
MEKINIST,99,17547329
AVASTIN,116,17191122
PIOGLITAZONE-METFORMIN,4606,17185357
NIFEDICAL XL,25255,17174170
LEVOCETIRIZINE DIHYDROCHLORIDE,22214,17030304
PREMPRO,6369,16991053
FLUOROMETHOLONE,5201,16944379
NITROFURANTOIN,17262,16938916
IPRATROPIUM-ALBUTEROL,16274,16919299
SOTALOL,26925,16914575
ESZOPICLONE,15158,16761292
TELMISARTAN,11176,16747620
OFLOXACIN,10842,16679935
TOLTERODINE TARTRATE,8097,16650780
CIPRODEX,3906,16583412
SEREVENT DISKUS,3282,16356862
ORKAMBI,47,16351615
MOVIPREP,3755,16350101
KEPPRA XR,877,16289364
ZYDELIG,138,16264218
PRIMIDONE,28242,16239635
HYDROXYZINE HCL,34272,16204411
NABUMETONE,22258,16120047
TAFINLAR,103,16083152
TEKTURNA,4933,16076023
ZOLPIDEM TARTRATE ER,11355,15925083
HUMALOG MIX 50-50 KWIKPEN,795,15770085
RYTARY,630,15711248
MORPHINE SULFATE,21607,15687159
JADENU,96,15674714
LUPRON DEPOT,368,15624513
LYNPARZA,169,15561479
LOVAZA,2808,15357215
TRULICITY,1158,15333284
KUVAN,52,15307601
PHENOBARBITAL,20698,15226257
CLOZARIL,640,15174984
ACITRETIN,944,15101527
VIMOVO,437,15009710
AMMONIUM LACTATE,14049,14954403
CLINDAMYCIN PHOSPHATE,8016,14939053
AZATHIOPRINE,11967,14865018
COLESTIPOL HCL,7259,14655231
CILOSTAZOL,25653,14640060
CYMBALTA,3130,14571843
DILANTIN,9384,14552874
ATOVAQUONE,636,14528212
DIPHENOXYLATE-ATROPINE,22836,14453418
FORADIL,2667,14410364
ACTIMMUNE,21,14237727
CARISOPRODOL,26413,14209059
DORZOLAMIDE HCL,12838,14128869
BARACLUDE,525,14064638
SAMSCA,143,14044555
ONDANSETRON ODT,28915,13996070
APTIOM,606,13986061
GRALISE,1518,13930968
RAVICTI,16,13918994
TEGRETOL XR,3985,13824941
FETZIMA,2443,13816083
HALOPERIDOL DECANOATE,5599,13808421
KLOR-CON M10,25974,13799004
KALBITOR,18,13776944
NORTRIPTYLINE HCL,41332,13665878
BUPROPION HCL,18747,13640692
HYDROCORTISONE,26440,13635630
ATELVIA,1991,13612724
DESOXIMETASONE,3905,13520618
LAMIVUDINE,2298,13416668
ICLUSIG,59,13371253
TROSPIUM CHLORIDE,5042,13337943
PENNSAID,316,13318462
EDURANT,676,13266588
DEPAKOTE ER,1754,13126172
ZYPREXA,1000,13083787
ERYTHROMYCIN,13172,13070978
BISOPROLOL FUMARATE,15376,13070975
OCTAGAM,57,13012104
NITROGLYCERIN PATCH,16678,12900015
BALSALAZIDE DISODIUM,3374,12752500
TAMOXIFEN CITRATE,10548,12719849
NYSTOP,14387,12581085
PROGRAF,761,12562345
CALCITONIN-SALMON,9104,12552811
SOMAVERT,81,12327427
FLECTOR,1345,12309971
PYRIDOSTIGMINE BROMIDE,5513,12281892
DYMISTA,2909,12233432
GLASSIA,75,12039633
ACTONEL,2584,11955211
APIDRA SOLOSTAR,1179,11905088
TELMISARTAN-HYDROCHLOROTHIAZID,5550,11777545
PROMETHAZINE HCL,37660,11723105
DILTIAZEM HCL,27506,11710584
CANASA,854,11708409
TRAMADOL HCL-ACETAMINOPHEN,17609,11630860
GATIFLOXACIN,1454,11613134
TESTOSTERONE CYPIONATE,10662,11600504
MEGESTROL ACETATE,15299,11506160
GLYBURIDE,23954,11493891
SOLIRIS,25,11491604
METAXALONE,2825,11480428
SEROQUEL,1243,11474630
AMLODIPINE-ATORVASTATIN,3114,11386472
REVATIO,181,11337607
CAYSTON,92,11308326
DESMOPRESSIN ACETATE,6120,11274458
BETHANECHOL CHLORIDE,6506,11211217
TROSPIUM CHLORIDE ER,2530,11192519
LIPITOR,2435,11115390
ASPIRIN-DIPYRIDAMOLE ER,2162,11082254
HYDROCORTISONE VALERATE,3023,11050663
EPLERENONE,4386,11009806
OXYMORPHONE HCL,1796,10984073
DICYCLOMINE HCL,43554,10949344
METHAZOLAMIDE,1314,10896162
JARDIANCE,1290,10880476
LUMIZYME,15,10829922
CLOZAPINE ODT,849,10741528
THEOPHYLLINE ANHYDROUS,15517,10726359
TRANSDERM-SCOP,3932,10713505
EXFORGE,2523,10700625
TRILEPTAL,802,10624718
DEPAKOTE,1363,10613608
CEVIMELINE HCL,2178,10599383
ROPINIROLE ER,2061,10586294
ABACAVIR-LAMIVUDINE-ZIDOVUDINE,462,10562623
FELBAMATE,865,10542696
BOTOX,352,10526767
LIOTHYRONINE SODIUM,10321,10462507
CLOTRIMAZOLE,11931,10379803
LETROZOLE,9870,10247348
ATENOLOL-CHLORTHALIDONE,19951,10165510
NEVIRAPINE ER,721,10111696
ATIVAN,370,10054309
CEFTRIAXONE,6477,10034296
PROVENTIL HFA,6716,9989701
EXTAVIA,162,9958345
HUMALOG MIX 50-50,639,9949879
METHOCARBAMOL,22699,9859417
GLUCAGON EMERGENCY KIT,1723,9836900
PROGESTERONE,5461,9816667
PRAZOSIN HCL,13304,9769652
ZONEGRAN,398,9753003
FABRAZYME,27,9724549
VORICONAZOLE,439,9616735
MESTINON,508,9590759
TYKERB,143,9535532
HERCEPTIN,89,9530410
RELPAX,1385,9509528
SIROLIMUS,587,9502618
HALOBETASOL PROPIONATE,2311,9476539
EFFEXOR XR,1586,9473743
BUPRENORPHINE HCL,2379,9445912
CHENODAL,13,9441622
DICLOFENAC POTASSIUM,7106,9428049
PROTONIX,2062,9410908
PROCTOZONE-HC,6141,9375262
GAMMAPLEX,54,9306224
HETLIOZ,76,9261292
PULMICORT FLEXHALER,2306,9260506
TRAMADOL HCL ER,4046,9260373
OMEPRAZOLE-SODIUM BICARBONATE,993,9207871
FLUOCINOLONE ACETONIDE,2914,9185618
AMLODIPINE-VALSARTAN-HCTZ,2781,9167941
CUPRIMINE,62,9144778
DILT-XR,12418,9105859
FLOVENT DISKUS,2509,9099117
EMTRIVA,965,8970410
VELCADE,78,8951235
HYDROXYUREA,9381,8941603
PROPAFENONE HCL,8392,8937251
XOPENEX HFA,6637,8858581
DOXYCYCLINE MONOHYDRATE,14711,8841282
EDECRIN,547,8809799
CARBIDOPA,464,8770052
MYCOPHENOLIC ACID,640,8731262
RABEPRAZOLE SODIUM,6971,8707300
SPIRONOLACTONE-HCTZ,7260,8672177
ALCOHOL PREP PADS,8813,8660538
LENVIMA,33,8634840
CANDESARTAN CILEXETIL,4618,8597353
DIGITEK,10265,8564488
JANTOVEN,22737,8383255
CLINDAMYCIN HCL,46586,8351904
PLAVIX,2453,8343559
KLOR-CON 10,15756,8338593
ALFUZOSIN HCL ER,11264,8311076
METOCLOPRAMIDE HCL,37234,8282702
EXALGO,344,8214465
BICALUTAMIDE,8624,8192921
DUEXIS,200,8172627
TOBRADEX,1736,8137052
FLUPHENAZINE DECANOATE,2164,8104984
GLUCAGEN,1413,8090121
INVOKAMET,960,7992516
RISPERIDONE ODT,2339,7870188
LOVENOX,693,7862025
ZONISAMIDE,8449,7844494
TRETINOIN,2603,7819213
CEREZYME,22,7801013
MINOCYCLINE HCL,12212,7766669
ZIOPTAN,1863,7716099
TROKENDI XR,501,7700720
NISOLDIPINE,2056,7679531
TESTOSTERONE,1212,7669491
NORDITROPIN FLEXPRO,202,7622513
SILENOR,1242,7584902
CELLCEPT,341,7557185
NEOMYCIN-POLYMYXIN-DEXAMETH,11041,7546138
ESTRING,1267,7535334
XGEVA,196,7531394
ACIPHEX,953,7374373
RELISTOR,389,7330199
K-TAB ER,4704,7230267
EGRIFTA,102,7223770
ACARBOSE,4999,7184293
PHENYTOIN,8600,7126144
FELBATOL,222,7111016
PROVIGIL,268,7109959
MYSOLINE,184,7106874
IMIQUIMOD,2307,7099899
SULFASALAZINE,8957,7098124
DEXTROAMPHETAMINE SULFATE ER,1661,7077223
IRBESARTAN-HYDROCHLOROTHIAZIDE,9094,7073176
BEXAROTENE,17,7072237
NAGLAZYME,7,7056832
CLARITHROMYCIN,6715,7024758
BIDIL,1463,7018395
TANZEUM,882,6945782
LEXAPRO,1873,6935051
TEGRETOL,1897,6834717
BOOSTRIX TDAP,2220,6816023
NOVOFINE 32,6192,6815515
PERMETHRIN,3078,6810591
VALPROIC ACID,10639,6802636
GEODON,638,6796860
VIRACEPT,442,6792317
LEUKINE,31,6779681
TRELSTAR,92,6737808
SYPRINE,20,6700765
GENTAMICIN SULFATE,7858,6652044
NOVOFINE AUTOCOVER,3723,6615645
FLUVOXAMINE MALEATE,9611,6587482
CHLORHEXIDINE GLUCONATE,32197,6581904
VPRIV,12,6579197
